Item,Weight,Value,Shelf_Life
Item_1,45,591,76
Item_2,48,179,57
Item_3,1,685,17
Item_4,4,458,25
Item_5,4,105,30
Item_6,40,207,22
Item_7,10,616,26
Item_8,20,266,81
Item_9,22,891,61
Item_10,37,700,62
Item_11,24,302,84
Item_12,7,940,34
Item_13,25,826,33
Item_14,25,871,71
Item_15,13,397,86
Item_16,2,620,32
Item_17,39,564,14
Item_18,40,983,72
Item_19,24,378,57
Item_20,47,927,25
Item_21,25,211,80
Item_22,18,393,42
Item_23,38,522,19
Item_24,26,916,41
Item_25,14,380,55
Item_26,9,565,80
Item_27,10,964,12
Item_28,21,393,39
Item_29,17,33,94
Item_30,6,709,2
Item_31,16,140,96
Item_32,48,387,45
Item_33,1,108,89
Item_34,19,584,25
Item_35,36,941,68
Item_36,25,744,83
Item_37,50,133,4
Item_38,30,973,77
Item_39,20,604,36
Item_40,20,952,87
Item_41,15,749,62
Item_42,40,158,70
Item_43,33,219,88
Item_44,2,572,44
Item_45,10,421,33
Item_46,33,792,12
Item_47,32,51,85
Item_48,11,68,11
Item_49,24,715,55
Item_50,36,46,38
Item_51,12,788,29
Item_52,29,96,3
Item_53,35,53,28
Item_54,1,882,84
Item_55,1,21,90
Item_56,37,780,24
Item_57,6,317,54
Item_58,39,90,52
Item_59,41,42,47
Item_60,18,192,21
Item_61,16,138,54
Item_62,5,816,30
Item_63,42,285,68
Item_64,43,184,36
Item_65,32,564,40
Item_66,2,381,10
Item_67,2,194,74
Item_68,40,454,42
Item_69,42,498,24
Item_70,36,599,4
Item_71,39,296,47
Item_72,12,290,91
Item_73,47,647,51
Item_74,19,780,4
Item_75,28,525,32
Item_76,1,104,10
Item_77,15,236,11
Item_78,36,885,28
Item_79,13,279,46
Item_80,43,890,72
Item_81,21,306,40
Item_82,12,338,62
Item_83,5,29,86
Item_84,7,617,98
Item_85,5,850,45
Item_86,48,420,35
Item_87,4,460,35
Item_88,13,258,89
Item_89,37,190,34
Item_90,41,333,6
Item_91,15,839,37
Item_92,16,792,1
Item_93,21,874,76
Item_94,36,270,35
Item_95,24,973,70
Item_96,16,759,54
Item_97,14,149,81
Item_98,22,608,63
Item_99,49,471,9
Item_100,50,899,62
